iter	Passed	Remaining
0	1	133
1	2	118
2	3	114
3	4	104
4	5	101
5	6	103
6	7	102
7	8	101
8	10	101
9	12	108
10	13	106
11	14	105
12	15	102
13	16	101
14	17	100
15	18	99
16	19	96
17	20	93
18	21	91
19	22	89
20	23	86
21	23	85
22	25	84
23	27	87
24	29	87
25	30	86
26	31	85
27	32	84
28	34	83
29	35	81
30	36	80
31	37	78
32	37	76
33	38	75
34	39	74
35	41	73
36	42	72
37	43	70
38	44	69
39	45	67
40	46	66
41	46	63
42	47	62
43	48	61
44	49	59
45	49	58
46	50	57
47	51	56
48	52	54
49	53	53
50	55	52
51	56	52
52	57	51
53	58	50
54	59	48
55	60	47
56	62	46
57	63	45
58	64	44
59	65	43
60	66	42
61	67	41
62	67	39
63	69	38
64	70	38
65	72	37
66	73	35
67	74	34
68	75	33
69	76	32
70	76	31
71	78	30
72	78	29
73	79	28
74	80	26
75	81	25
76	82	24
77	83	23
78	84	22
79	86	21
80	88	20
81	89	19
82	90	18
83	91	17
84	93	16
85	94	15
86	94	14
87	96	13
88	97	11
89	97	10
90	98	9
91	100	8
92	101	7
93	102	6
94	103	5
95	104	4
96	105	3
97	106	2
98	107	1
99	108	0
