iter	Passed	Remaining
0	0	757
1	1	716
2	2	682
3	2	647
4	3	644
5	3	631
6	4	625
7	5	625
8	5	625
9	6	622
10	6	620
11	7	617
12	8	608
13	8	607
14	9	605
15	9	608
16	10	617
17	11	627
18	12	625
19	12	624
20	13	626
21	14	624
22	14	624
23	15	625
24	15	623
25	16	623
26	17	624
27	17	622
28	18	620
29	19	616
30	19	611
31	20	607
32	20	606
33	21	605
34	21	604
35	22	603
36	23	603
37	23	602
38	24	602
39	25	601
40	25	606
41	26	605
42	27	604
43	27	603
44	28	602
45	28	600
46	29	599
47	30	599
48	30	596
49	31	595
50	32	595
51	32	595
52	33	593
53	33	592
54	34	591
55	35	590
56	35	589
57	36	587
58	36	586
59	37	585
60	37	584
61	38	582
62	39	580
63	39	580
64	40	581
65	41	583
66	41	582
67	42	582
68	43	582
69	43	581
70	44	580
71	44	579
72	45	577
73	46	577
74	46	576
75	47	576
76	47	574
77	48	573
78	49	573
79	49	573
80	50	572
81	50	570
82	51	565
83	51	564
84	52	563
85	52	561
86	53	560
87	54	560
88	54	560
89	55	560
90	56	561
91	57	562
92	57	562
93	58	562
94	59	562
95	59	562
96	60	560
97	60	560
98	61	559
99	62	558
100	62	557
101	63	556
102	63	555
103	64	553
104	64	553
105	65	552
106	66	552
107	66	551
108	67	549
109	67	547
110	68	546
111	68	545
112	69	543
113	69	542
114	70	542
115	71	543
116	71	542
117	72	541
118	73	540
119	73	540
120	74	539
121	74	538
122	75	536
123	75	535
124	76	534
125	76	532
126	77	530
127	77	530
128	78	529
129	78	528
130	79	526
131	80	526
132	80	525
133	81	524
134	81	524
135	82	523
136	82	522
137	83	522
138	84	521
139	85	525
140	86	528
141	87	527
142	88	527
143	88	527
144	89	526
145	89	525
146	90	525
147	91	524
148	91	524
149	92	523
150	93	523
151	93	522
152	94	521
153	94	520
154	95	519
155	95	518
156	96	517
157	97	517
158	97	516
159	98	514
160	98	513
161	99	512
162	99	512
163	100	512
164	102	516
165	102	515
166	103	515
167	103	514
168	104	514
169	105	513
170	105	512
171	106	512
172	107	512
173	107	511
174	108	511
175	109	510
176	109	509
177	110	508
178	110	507
179	111	506
180	111	505
181	112	504
182	112	503
183	113	502
184	113	501
185	114	501
186	115	502
187	116	503
188	117	504
189	118	503
190	118	503
191	119	503
192	120	502
193	120	501
194	121	500
195	121	500
196	122	499
197	122	498
198	123	497
199	124	496
200	124	496
201	125	495
202	125	494
203	126	493
204	127	492
205	127	491
206	128	491
207	128	489
208	129	489
209	130	490
210	131	490
211	131	489
212	132	489
213	133	489
214	133	488
215	134	487
216	134	486
217	135	485
218	135	484
219	136	484
220	137	482
221	137	482
222	138	481
223	138	480
224	139	479
225	139	478
226	140	477
227	140	476
228	141	475
229	141	475
